Statistic Element,January,February,March,April,May,June,July,August,September,October,November,December,Annual,Number of Years,Start Year,End Year
Highest daily rainfall (mm) for years 1958 to 2022 ,63,64,61.4,130.3,61.7,48.8,62,54,63.8,53.3,40.6,64.2,130.3,64,1958,2022
Date of Highest daily rainfall for years 1958 to 2022 ,14-Jan-15,23-Feb-64,23-Mar-83,23-Apr-60,17-May-69,8-Jun-11,11-Jul-67,28-Aug-81,12-Sep-05,21-Oct-73,30-Nov-77,27-Dec-93,23-Apr-60,N/A,1958,2022
Mean number of days of rain for years 1958 to 2022 ,9,8.3,10.1,10.5,11.4,11.4,13.3,13.9,13.8,13.7,12.9,12,140.3,64,1958,2022
Mean number of days of rain >= 1 mm for years 1958 to 2022 ,5.3,5.1,6.2,6.6,7.1,6.5,7.8,8.9,8,8.5,7.6,7.3,84.9,64,1958,2022
Mean number of days of rain >= 10 mm for years 1958 to 2022 ,1.3,1.1,0.8,0.9,0.7,0.6,0.9,1.1,0.8,1.1,1.2,1.4,11.9,64,1958,2022
Mean number of days of rain >= 25 mm for years 1958 to 2022 ,0.3,0.2,0.2,0.2,0.1,0.1,0.1,0.2,0.1,0.3,0.1,0.4,2.3,64,1958,2022
Mean daily wind run (km) for years 1995 to 2022 ,426,399,385,363,355,340,339,380,413,429,432,445,392,24,1995,2022
Maximum wind gust speed (km/h) for years 1958 to 2022 ,115,102,117,115,117,111,111,111,111,130,124,102,130,62,1958,2022
Date of Maximum wind gust speed for years 1958 to 2022 ,4-Jan-75,7-Feb-67,15-Mar-80,17-Apr-81,18-May-62,13-Jun-83,31-Jul-84,29-Aug-62,22-Sep-83,26-Oct-88,9-Nov-82,23-Dec-72,26-Oct-88,N/A,1958,2022
Mean daily sunshine (hours) for years 1968 to 2020 ,8.2,7.9,6.7,5.9,4.7,4.3,4.8,5.7,6.3,7.4,7.4,7.9,6.4,50,1968,2020
Mean daily solar exposure (MJ/(m*m)) for years 1990 to 2022 ,23.1,19.4,14.6,9.5,6.1,4.7,5.5,8.5,12.7,17.2,20.7,23.5,13.8,32,1990,2022
Mean number of clear days for years 1958 to 2010 ,4.9,4.3,4.2,4,3.8,4.1,4.1,3.8,2.9,3.1,2.7,2.9,44.8,51,1958,2010
Mean number of cloudy days for years 1958 to 2010 ,13.4,11.1,13,13.8,15.7,14.3,14.4,14.5,13.9,14,15.6,15.4,169.1,51,1958,2010
Mean daily evaporation (mm) for years 1986 to 2021 ,6.4,5.5,4.2,2.9,1.9,1.3,1.4,2,3.1,4.1,4.9,6,3.6,33,1986,2021
Mean 9am temperature (Degrees C) for years 1958 to 2010 ,16.6,16.1,14.7,12.8,10,7.6,7.1,8.2,10.6,12.4,13.9,15.5,12.1,51,1958,2010
Mean 9am wet bulb temperature (Degrees C) for years 1958 to 2010 ,12.6,12.7,11.7,10.2,8.1,6,5.6,6.4,7.9,9.3,10.4,11.6,9.4,51,1958,2010
Mean 9am dew point temperature (Degrees C) for years 1958 to 2010 ,8.7,9.3,8.7,7.4,5.9,4.1,3.6,3.9,4.7,5.5,6.6,7.5,6.3,51,1958,2010
Mean 9am relative humidity (%) for years 1958 to 2010 ,61,66,69,71,77,80,80,76,68,64,63,60,69,51,1958,2010
Mean 9am cloud cover (okas) for years 1958 to 2010 ,5.1,5.1,5.1,5.1,5.2,5,4.9,4.8,5.1,5.2,5.4,5.5,5.1,51,1958,2010
Mean 9am wind speed (km/h) for years 1958 to 2010 ,14.5,13.2,12.8,13.4,12.3,12.3,12.3,13.8,16.1,16.4,15.8,15.5,14,50,1958,2010
Mean 3pm temperature (Degrees C) for years 1958 to 2010 ,20.5,20.6,19.1,16.6,14.1,11.9,11.4,12.4,13.8,15.6,17.3,18.9,16,51,1958,2010
Mean 3pm wet bulb temperature (Degrees C) for years 1958 to 2010 ,14.5,14.7,13.8,12.1,10.4,8.8,8.3,8.7,9.6,10.9,12.3,13.4,11.5,51,1958,2010
Mean 3pm dew point temperature (Degrees C) for years 1958 to 2010 ,9,9.5,8.8,7.4,6.3,5.1,4.4,4.3,4.7,5.7,7,8,6.7,51,1958,2010
Mean 3pm relative humidity (%) for years 1958 to 2010 ,50,51,53,56,61,64,63,60,56,54,53,52,56,51,1958,2010
Mean 3pm cloud cover (oktas) for years 1958 to 2010 ,4.7,4.6,4.9,5.2,5.3,5.3,5.2,5.4,5.5,5.3,5.4,5.3,5.2,51,1958,2010
Mean 3pm wind speed (km/h) for years 1958 to 2010 ,23.9,22.2,20.1,18.1,15.5,14,15.2,17.6,20.9,22.5,23.7,24.2,19.8,50,1958,2010
